Plant Name,Plant Part Eaten,Energy (kcal),Protein (g),Total Lipids (g),Carbohydrates (g),"Fiber, total dietary (g)",Vitamin A (μm),Vitamin C (mg),Vitamin D (D2 + D3) (μg),Thiamin (mg),Niacin (mg)
Almonds,Seeds (nuts),579,21.2,49.9,21.6,12.5,0,0,0,0.205,3.62
Brazil Nuts,Seeds (nuts),659,14.3,67.1,11.7,7.5,0,0.7,0,0.617,0.295
Chestnuts (Chinese),Seeds (nuts),224,4.2,1.11,49.1,5.1,10,36,0,0.16,0.8
Macadamia Nuts,Seeds (nuts),718,7.91,75.8,13.8,8.6,0,1.2,0,1.2,2.47
Hazelnut,Seeds (nuts),628,15,60.8,16.7,9.7,1,6.3,0,0.643,1.8
European Chestnuts (unpeeled),Seeds (nuts),213,2.42,2.26,45.5,8.1,1,43,0,0.238,1.18
English Walnuts,Seeds (nuts),654,15.2,65.2,13.7,6.7,1,1.3,0,0.341,1.12
Coconut,Seeds (nuts),354,3.33,33.5,15.2,9,0,3.3,0,0.066,0.54
Pistachios,Seeds (nuts),560,20.2,45.3,27.2,10.6,26,5.6,0,0.87,1.3
Pine Nuts (dried),Seeds (nuts),673,13.7,68.4,13.1,3.7,1,0.8,0,0.364,4.39
Pecans,Seeds (nuts),691,9.17,72,13.9,9.6,3,1.1,0,0.66,1.17
Sunflower Seeds,Seeds (nuts),584,20.8,51.5,20,8.6,3,1.4,0,1.48,8.34
Cashews,Seeds (nuts),553,18.2,43.8,30.2,3.3,0,0.5,0,0.423,1.06
Black Walnuts,Seeds (nuts),619,24.1,59.3,9.58,6.8,2,1.7,0,0.057,0.47
Apple,Fruit,52,0.26,0.17,13.8,2.4,3,4.6,0,0.017,0.091
Cantaloupe,Fruit,34,0.84,0.19,8.16,0.9,169,36.7,0,0.041,0.734
Banana,Fruit,89,1.09,0.33,22.8,2.6,3,8.7,0,0.031,0.665
Cucumber (with peel),Fruit,15,0.65,0.11,3.63,0.5,5,2.8,0,0.027,0.098
Eggplant,Fruit,25,0.98,0.18,5.88,3,1,2.2,0,0.039,0.649
Grapefruit (pink),Fruit,39,0.5,0.1,9.2,1.6,22,38,0,0.04,0.2
Green Snap Bean,Fruit,31,1.83,0.22,6.97,2.7,35,12.2,0,0.082,0.734
Honeydew Melon,Fruit,36,0.54,0.14,9.09,0.8,3,18,0,0.038,0.418
Lemon (juice),Fruit,22,0.35,0.24,6.9,0.3,0,38.7,0,0.024,0.091
Kiwi Fruit,Fruit,58,1.06,0.44,14,3,4,74.7,0,0.027,0.37
"Grapes (red or green, European)",Fruit,69,0.72,0.16,18.1,0.9,3,3.2,0,0.069,0.188
Pear,Fruit,57,0.36,0.14,15.2,3.1,1,4.3,0,0.012,0.161
"Pepper, Bell",Fruit,20,0.86,0.17,4.64,1.7,18,80.4,0,0.057,0.48
Nectarine,Fruit,44,1.06,0.32,10.6,1.7,17,5.4,0,0.034,1.12
Lime,Fruit,30,0.7,0.2,10.5,2.8,2,29.1,0,0.03,0.2
Plums,Fruit,46,0.7,0.28,11.4,1.4,17,9.5,0,0.028,0.417
Strawberries,Fruit,32,0.67,0.3,7.68,2,1,58.8,0,0.024,0.386
Summer Squash,Fruit,16,1.21,0.18,3.35,1.1,10,17,0,0.048,0.487
Sweet Cherry,Fruit,63,1.06,0.2,16,2.1,3,7,0,0.027,0.154
Sweet Corn (yellow),Fruit,86,3.27,1.35,18.7,2,9,6.8,0,0.155,1.77
Tangerine,Fruit,53,0.81,0.31,13.3,1.8,34,26.7,0,0.058,0.376
Watermelon,Fruit,30,0.61,0.15,7.55,0.4,28,8.1,0,0.033,0.178
Tomato,Fruit,18,0.88,0.2,3.89,1.2,42,13.7,0,0.037,0.594
Pineapple,Fruit,50,0.54,0.12,13.1,1.4,3,47.8,0,0.079,0.5
"Avocado, California",Fruit,167,1.96,15.4,8.64,6.8,7,8.8,0,0.075,1.91
Artichoke,Flower,47,3.27,0.15,10.5,5.4,1,11.7,0,0.072,1.05
Broccoli,Flower,34,2.57,0.34,6.27,2.4,8,91.3,0,0.077,0.639
Cauliflower,Flower,25,1.92,0.28,4.97,2,0,48.2,0,0.05,0.507
Cabbage,Flower,25,1.28,0.1,5.8,2.5,5,36.6,0,0.061,0.234
Potato,Stem,58,2.57,0.1,12.4,2.5,0,11.4,0,0.021,1.03
Celery,Stem,14,0.69,0.17,2.97,1.6,22,3.1,0,0.021,0.32
Asparagus,Stem,20,2.2,0.12,3.88,2.1,38,5.6,0,0.143,0.978
Black Beans,Seeds (legumes),341,21.6,1.42,62.4,15.5,0,0,0,0.9,1.96
Lentils,Seeds (legumes),352,24.6,1.06,63.4,10.7,2,4.5,0,0.873,2.6
Lima Beans,Seeds (legumes),338,21.5,0.69,63.4,19,0,0,0,0.507,1.54
Navy Beans,Seeds (legumes),337,22.3,1.5,60.8,15.3,0,18.8,0,0.775,2.19
Peanuts (Spanish),Seeds (legumes),570,26.2,49.6,15.8,9.5,0,0,0,0.675,15.9
Pigeon Peas,Seeds (legumes),343,21.7,1.49,62.8,15,1,0,0,0.643,2.96
Pinto Beans,Seeds (legumes),62,5.25,0.9,11.6,9,0,21.7,0,0.23,2.28
Kidney Beans (red),Seeds (legumes),337,22.5,1.06,61.3,15.2,0,4.5,0,0.608,2.11
Chickpeas,Seeds (legumes),378,20.5,6.04,63,12.2,3,4,0,0.477,1.54
Black-Eyed Peas,Seeds (legumes),336,23.5,1.26,60,10.6,3,1.5,0,0.853,2.08
Green Cabbage,Leaves,27,2,0.1,6.1,3.1,50,31,0,0.07,0.3
Iceburg Lettuce,Leaves,14,0.9,0.14,2.97,1.2,25,2.8,0,0.041,0.123
Leaf Lettuce (green),Leaves,15,1.36,0.15,2.87,1.3,370,9.2,0,0.07,0.375
Radishes,Root,16,0.68,0.1,3.4,1.6,0,14.8,0,0.012,0.254
Rutabaga,Root,37,1.08,0.16,8.62,2.3,0,25,0,0.09,0.7
Sweet Potato,Root,86,1.57,0.05,20.1,3,709,2.4,0,0.078,0.557
Turnip,Root,28,0.9,0.1,6.43,1.8,0,21,0,0.04,0.4
Carrots,Root,41,0.93,0.24,9.58,2.8,835,5.9,0,0.066,0.983
